,userId,movieId,rating,timestamp,movieId2
0,1,1,4.0,964982703,0
1,1,3,4.0,964981247,0
2,1,6,4.0,964982224,0
3,1,44,5.0,964983815,0
4,1,47,5.0,964982931,0
5,1,63,3.0,964982400,0
6,1,90,5.0,964980868,0
7,1,98,4.0,964982176,0
8,1,125,5.0,964984041,0
9,1,131,5.0,964984100,0
10,1,137,5.0,964983650,0
11,1,185,5.0,964981208,0
12,1,191,3.0,964980985,0
13,1,198,5.0,964981179,0
14,1,202,4.0,964980908,0
15,1,225,5.0,964981680,0
16,1,258,3.0,964982967,0
17,1,276,3.0,964982310,0
18,1,292,5.0,964981179,0
19,1,308,4.0,964982563,0
20,1,315,4.0,964980962,0
21,1,321,5.0,964982588,0
22,1,326,4.0,964981710,0
23,1,368,3.0,964982363,0
24,1,385,4.0,964980868,0
25,1,399,5.0,964981909,0
26,1,419,4.0,964982346,0
27,1,437,3.0,964981208,0
28,1,462,5.0,964984002,0
29,1,477,4.0,964981179,0
30,1,485,4.0,964982653,0
31,1,486,5.0,964984153,0
32,1,509,4.0,964982546,0
33,1,510,4.0,964982271,0
34,1,511,4.0,964983793,0
35,1,514,5.0,964982838,0
36,1,521,5.0,964982931,0
37,1,547,3.0,964982563,0
38,1,552,5.0,964982838,0
39,1,560,3.0,964981775,0
40,1,593,4.0,964982400,0
41,1,595,3.0,964982653,0
42,1,616,3.0,964984086,0
43,1,633,4.0,964980499,0
44,1,702,5.0,964982475,0
45,1,706,5.0,964981529,0
46,1,721,5.0,964982176,0
47,1,724,4.0,964983614,0
48,1,735,5.0,964983219,0
49,1,768,3.0,964981775,0
50,1,782,5.0,964982681,0
51,1,783,5.0,964982876,0
52,1,784,5.0,964982791,0
53,1,787,5.0,964982855,0
54,1,788,3.0,964982903,0
55,1,789,5.0,964982653,0
56,1,790,5.0,964982791,0
57,1,798,4.0,964981179,0
58,1,802,5.0,964982400,0
59,1,811,4.0,964980924,0
60,1,816,5.0,964981680,0
61,1,821,5.0,964981327,0
62,1,829,5.0,964982951,0
63,1,830,4.0,964984018,0
64,1,832,5.0,964983484,0
65,1,837,5.0,964981680,0
66,1,857,4.0,964982513,0
67,1,864,5.0,964981327,0
68,1,899,5.0,964981827,0
69,1,900,5.0,964981872,0
70,1,901,5.0,964981827,0
71,1,908,5.0,964983737,0
72,1,910,4.0,964983250,0
73,1,912,5.0,964980499,0
74,1,915,5.0,964982951,0
75,1,916,4.0,964981855,0
76,1,921,2.0,964983393,0
77,1,922,5.0,964981909,0
78,1,924,5.0,964981909,0
79,1,926,5.0,964984018,0
80,1,928,5.0,964983618,0
81,1,940,5.0,964983723,0
82,1,956,5.0,964981442,0
83,1,958,3.0,964983414,0
